portNumber,portCount,byteCount
0.0,0.0,0.0
0.0,0.0,0.0
-1.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
-10.5,0.0,0.0
-7.0,0.0,0.0
-2.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
-1.0,0.0,0.0
0.0,0.0,0.0
-1.0,0.0,0.0
0.0,0.0,0.0
-1.0,0.0,0.0
-160.0,1.0,11.0
-1.0,0.0,0.0
-1.0,0.0,0.0
-1.0,0.0,0.0
-3.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
-1.0,0.0,0.0
-1.0,0.0,0.0
0.0,0.0,0.0
-2.0,0.0,0.0
-5.0,0.0,0.0
-3.0,0.0,0.0
-2.0,0.0,0.0
-9.0,0.0,0.0
0.0,0.0,0.0
-1.0,0.0,0.0
-1.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
-26.0,0.0,0.0
0.0,0.0,0.0
-11.0,0.0,0.0
-5.0,0.0,0.0
-42.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
-1.0,0.0,0.0
0.0,0.0,0.0
-1.0,0.0,0.0
-1.0,0.0,0.0
-4.0,0.0,0.0
0.0,0.0,0.0
-0.5,0.0,0.0
0.0,0.0,0.0
-39.0,0.0,0.0
-2.0,0.0,0.0
-63.0,0.0,0.0
-8.0,0.0,0.0
-18.0,0.0,0.0
-68.0,0.0,0.0
0.0,0.0,0.0
-1.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
-2.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
-1.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
-10.5,0.0,0.0
-7.0,0.0,0.0
-2.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
-1.0,0.0,0.0
0.0,0.0,0.0
-1.0,0.0,0.0
0.0,0.0,0.0
-1.0,0.0,0.0
-160.0,1.0,11.0
-1.0,0.0,0.0
-1.0,0.0,0.0
-1.0,0.0,0.0
-3.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
-1.0,0.0,0.0
-1.0,0.0,0.0
0.0,0.0,0.0
-2.0,0.0,0.0
-5.0,0.0,0.0
-3.0,0.0,0.0
-2.0,0.0,0.0
-9.0,0.0,0.0
0.0,0.0,0.0
-1.0,0.0,0.0
-1.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
-26.0,0.0,0.0
0.0,0.0,0.0
-11.0,0.0,0.0
-5.0,0.0,0.0
-42.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
-1.0,0.0,0.0
0.0,0.0,0.0
-1.0,0.0,0.0
-1.0,0.0,0.0
-4.0,0.0,0.0
0.0,0.0,0.0
-0.5,0.0,0.0
0.0,0.0,0.0
-39.0,0.0,0.0
-2.0,0.0,0.0
-63.0,0.0,0.0
-8.0,0.0,0.0
-18.0,0.0,0.0
-68.0,0.0,0.0
0.0,0.0,0.0
-1.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
-2.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
-1.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
-10.5,0.0,0.0
